"Date","Time","Diamond","HomeSeed","VisitSeed","WinnerNext","LoserNext","TournamentID"
2011-08-23,"6:30","NORTH",7,10,"B6","B7","B2"
2011-08-23,"6:30","SOUTH",8,9,"B5","B8","B1"
2011-08-23,"8:00","NORTH",4,5,"B11","B7","B3"
2011-08-23,"8:00","SOUTH",3,6,"B12","B8","B4"
2011-08-23,"9:30","NORTH",,,,,
2011-08-23,"9:30","SOUTH",,,,,
2011-08-24,"6:30","NORTH",3,6,"C6","C8","C3"
2011-08-24,"6:30","SOUTH",4,5,"C5","C7","C2"
2011-08-24,"8:00","NORTH",1,8,"C5","C7","C1"
2011-08-24,"8:00","SOUTH",2,7,"C6","C8","C4"
2011-08-24,"9:30","NORTH",,,,,
2011-08-24,"9:30","SOUTH",3,6,"A6","A8","A3"
2011-08-29,"6:30","NORTH",4,5,"A5","A7","A2"
2011-08-29,"8:00","NORTH",1,8,"A5","A7","A1"
2011-08-29,"9:30","NORTH",2,7,"A6","A8","A4"
2011-08-30,"6:30","NORTH",,,"B9",,"B7"
2011-08-30,"6:30","SOUTH",,,"B10",,"B8"
2011-08-30,"8:00","NORTH",1,,"B11","B9","B5"
2011-08-30,"8:00","SOUTH",,,,,
2011-08-30,"9:30","NORTH",,,,,
2011-08-30,"9:30","SOUTH",2,,"B12","B10","B6"
2011-08-31,"6:30","NORTH",,,,,
2011-08-31,"6:30","SOUTH",,,,,
2011-08-31,"8:00","NORTH",,,,,
2011-08-31,"8:00","SOUTH",,,,,
2011-08-31,"9:30","NORTH",,,,,
2011-08-31,"9:30","SOUTH",,,,,
2011-09-06,"6:30","NORTH",,,"C11","C9","C6"
2011-09-06,"6:30","SOUTH",,,"B15","B13","B11"
2011-09-06,"8:00","NORTH",,,"B14",,"B9"
2011-09-06,"8:00","SOUTH",,,"A11","A10","A5"
2011-09-06,"9:30","NORTH",,,"B13",,"B10"
2011-09-06,"9:30","SOUTH",,,"B15","B14","B12"
2011-09-07,"6:30","NORTH",,,"A10",,"A8"
2011-09-07,"6:30","SOUTH",,,"C9",,"C7"
2011-09-07,"8:00","NORTH",,,"A11","A9","A6"
2011-09-07,"8:00","SOUTH",,,"C11","C10","C5"
2011-09-07,"9:30","NORTH",,,"A9",,"A7"
2011-09-07,"9:30","SOUTH",,,"C10",,"C8"
2011-09-12,"6:30","NORTH",,,"C12",,"C9"
2011-09-12,"8:00","NORTH",,,"C14","C13","C11"
2011-09-12,"9:30","NORTH",,,,,
2011-09-13,"6:30","NORTH",,,"B16",,"B13"
2011-09-13,"6:30","SOUTH",,,"B16",,"B14"
2011-09-13,"8:00","NORTH",,,"A14","A13","A11"
2011-09-13,"8:00","SOUTH",,,"B17",,"B16"
2011-09-13,"9:30","NORTH",,,"C12",,"C10"
2011-09-13,"9:30","SOUTH",,,,,
2011-09-14,"6:30","NORTH",,,"A12",,"A10"
2011-09-14,"6:30","SOUTH",,,"A12",,"A9"
2011-09-14,"8:00","NORTH",,,"A13",,"A12"
2011-09-14,"8:00","SOUTH",,,"B18","B17","B15"
2011-09-14,"9:30","NORTH",,,"C13",,"C12"
2011-09-14,"9:30","SOUTH",,,,,
2011-09-19,"6:30","NORTH",,,"A11",,"A13"
2011-09-19,"8:00","NORTH",,,"C14",,"C13"
2011-09-19,"9:30","NORTH",,,"B18",,"B17"
2011-09-20,"6:30","NORTH",,,"C15","C15","C14 (Finals 1)"
2011-09-20,"6:30","SOUTH",,,"A15","A15","A14 (Finals 1)"
2011-09-20,"8:00","NORTH",,,,,"C15 (Finals 2)"
2011-09-20,"8:00","SOUTH",,,,,"A15 (Finals 2)"
2011-09-20,"9:30","NORTH",,,,,
2011-09-20,"9:30","SOUTH",,,,,
2011-09-21,"6:30","NORTH",,,,,
2011-09-21,"6:30","SOUTH",,,"B19","B19","B18 (Finals 1)"
2011-09-21,"8:00","NORTH",,,,,
2011-09-21,"8:00","SOUTH",,,,,"B19 (Finals 2)"
2011-09-21,"9:30","NORTH",,,,,
2011-09-21,"9:30","SOUTH",,,,,
